SecondIR Ion elements of the 2nd IR																
275 GeV protons																
																
Element name	Type	Length [m]	Rin [m]	Rout [m]	Dout [m]	Dipole field [T]		Quadrupole field [T/m]		Sextupole [T/m^2]	Solenoid [T]	X center [m]	Y center [m]	Z center [m]	Theta center [rad]	Phi [rad]
Rear elements						Bx	By	Normal	Skew							
ionBXUS01	SBEND	4.499917312	0.04	0.04	0.19	0	-4.280739283	0	0	0	0	-0.863527382	0	-17.72883268	0.0395	0
ionQFFUS03	QUADRUPOLE	4.5	0.04	0.04	0.19	0	0	55.53995482	0	0	0	-0.637234408	0	-12.73406582	0.05	0
ionQFFUS02	QUADRUPOLE	1.4	0.04	0.04	0.19	0	0	-76.56831969	0	0	0	-0.414827105	0	-8.289627162	0.05	0
ionQFFUS01	QUADRUPOLE	1.8	0.04	0.04	0.19	0	0	-103.7813166	0	0	0	-0.309870849	0	-6.192251615	0.05	0
																
Forward elements																
ionBXSP01	RBEND	1.49999775	0.345	0.345	0.4952	0	-3.6692051	0	0	0	0	0.2906547	0	5.742726849	0	0
ionQFFDS01A	QUADRUPOLE	2.8	0.098	0.098	0.195729395	0	0	-46.82776885	0	0	0  0.43570291	0	8.388664377	0.056	0
ionQFFDS01B	QUADRUPOLE	2.8	0.131	0.131	0.261625934	0	0	-28.88590294	0	0	0	0.620406336	0	11.68349133	0.056	0
ionQFFDS02A	QUADRUPOLE	3.7	0.178	0.178	0.355478581	0	0	25.78575681	0	0	0	0.858281961	0	15.92682907	0.056	0
ionQFFDS02B	QUADRUPOLE	3.7	0.22	0.22	0.439346903	0	0	13.91559525	0	0	0	1.093359049	0	20.12024519	0.056	0
ionBXDS01A	RBEND	2.99997188	0.255	0.255	0.405	0	4.586506375	0	0	0	0	1.300420257	0	23.96464711	0.0485	0
ionBXDS01B	RBEND	2.999971872	0.29	0.29	0.44	0	4.586506375	0	0	0	0	1.443877175	0	27.46163552	0.0335	0
ionQDS01	QUADRUPOLE	1.5	0.04	0.04	0.19	0	0	38.34625006	0	0	0	1.900760261	0	44.70555086	0.026	0
ionQDS02	QUADRUPOLE	1.5	0.04	0.04	0.19	0	0	14.0800501	0	0	0	2.043744151	0	50.20369197	0.026	0
ionBXDS02	RBEND	2.999982171	0.04	0.04	0.19	0	-3.651175978	0	0	0	0	2.160945625	0	54.45205866	0.031970518	0
