Detector region electron elements																
18 GeV electrons																
																
Element name	Type	Length [m]	Rin [m]	Rout [m]	Dout [m]	Dipole field [T]		Quadrupole field [T/m]		Sextupole [T/m^2]	Solenoid [T]	X center [m]	Y center [m]	Z center [m]	Theta center [rad]	Phi [rad]
Rear elements						Bx	By	Normal	Skew							
eQ5ER	QUADRUPOLE	1.2	0.05	0.05	0.3	0	0	7.4817804991	0	0	0	0.4131116641	0	-46.8266646	0	0
eQ4ER	QUADRUPOLE	0.6	0.05	0.05	0.3	0	0	8.85795969608	0	0	0	0.4131116641	0	-37.9966646	0	0
eDB3ER	RBEND	5.19999999852	0.05	0.05	0.3	0	0.211535506163	0	0	0	0	0.395249155044	0	-34.7967191429	-0.00916032511	0
eQ3ER	QUADRUPOLE	0.6	0.05	0.05	0.3	0	0	-22.7971364663	0	0	0	0.3544868645	0	-31.596983455	-0.01832065022	0
eDB2ER	RBEND	5.50000000517	0.05	0.05	0.3	0	-0.199997205813	0	0	0	0	0.0188930384294	0	-12.2499423138	-0.00916032511	0
eQ2ER	QUADRUPOLE	1.4	0.05	0.05	0.3	0	0	14.1466330507	0	0	0	4.16E-17	0	-8.3	0	0
eQ1ER	QUADRUPOLE	1.8	0.05	0.05	0.3	0	0	-14.4788697389	0	0	0	4.16E-17	0	-6.2	0	0
																
Forward elements																
eQ0EF	QUADRUPOLE	1.2	0.031	0.031	0.07	0	0	-13.5400001997	0	0	0	4.16E-17	0	5.9	0	0
eQ1EF	QUADRUPOLE	1.61	0.05	0.05	0.3	0	0	7.46128653183	0	0	0	4.16E-17	0	11.065	0	0
eQ2EF	QUADRUPOLE	3.8	0.05	0.05	0.3	0	0	0	0	0	0	4.16E-17	0	14.17	0	0
eQ3EF	QUADRUPOLE	1.2	0.05	0.05	0.3	0	0	-5.5461671321	0	0	0	4.16E-17	0	20.82	0	0
eQ4EF	QUADRUPOLE	1.2	0.05	0.05	0.3	0	0	5.85445535722	0	0	0	4.16E-17	0	29.95	0	0
