Detector region electron elements																
10 GeV electrons																
																
Element name	Type	Length [m]	Rin [m]	Rout [m]	Dout [m]	Dipole field [T]		Quadrupole field [T/m]		Sextupole [T/m^2]	Solenoid [T]	X center [m]	Y center [m]	Z center [m]	Theta center [rad]	Phi [rad]
Rear elements						Bx	By	Normal	Skew							
eQ5ER	QUADRUPOLE	1.2	0.05	0.05	0.3	0	0	3.28726133121	0	0	0	0.4131116641	0	-46.8266646	0	0
eQ4ER	QUADRUPOLE	0.6	0.05	0.05	0.3	0	0	4.95934764133	0	0	0	0.4131116641	0	-37.9966646	0	0
eDB3ER	RBEND	5.19999999852	0.05	0.05	0.3	0	0.117519725559	0	0	0	0	0.395249155044	0	-34.7967191429	-0.00916032511	0
eQ3ER	QUADRUPOLE	0.6	0.05	0.05	0.3	0	0	-12.8848753335	0	0	0	0.3544868645	0	-31.596983455	-0.01832065022	0
eDB2ER	RBEND	5.50000000517	0.05	0.05	0.3	0	-0.111109558702	0	0	0	0	0.0188930384294	0	-12.2499423138	-0.00916032511	0
eQ2ER	QUADRUPOLE	1.4	0.05	0.05	0.3	0	0	7.88148030185	0	0	0	4.16E-17	0	-8.3	0	0
eQ1ER	QUADRUPOLE	1.8	0.05	0.05	0.3	0	0	-8.04151897056	0	0	0	4.16E-17	0	-6.2	0	0
																
Forward elements																
eQ0EF	QUADRUPOLE	1.2	0.031	0.031	0.07	0	0	-7.52222232755	0	0	0	4.16E-17	0	5.9	0	0
eQ1EF	QUADRUPOLE	1.61	0.05	0.05	0.3	0	0	4.09260373127	0	0	0	4.16E-17	0	11.065	0	0
eQ2EF	QUADRUPOLE	3.8	0.05	0.05	0.3	0	0	0	0	0	0	4.16E-17	0	14.17	0	0
eQ3EF	QUADRUPOLE	1.2	0.05	0.05	0.3	0	0	-2.82409754424	0	0	0	4.16E-17	0	20.82	0	0
eQ4EF	QUADRUPOLE	1.2	0.05	0.05	0.3	0	0	3.37509972733	0	0	0	4.16E-17	0	29.95	0	0
