Detector region ion elements
275 GeV protons																
																
Element name	Type	Length [m]	Rin [m]	Rout [m]	Dout [m]	Dipole field [T]		Quadrupole field [T/m]		Sextupole [T/m^2]	Solenoid [T]	X center [m]	Y center [m]	Z center [m]	Theta center [rad]	Phi [rad]
Rear elements						Bx	By	Normal	Skew							
#iYI6_DH6_E2	MULTIPOLE	0	0.05	0.05	0.3	0	0	0	0	0	0	-25.83302499	0	-106.4876843	0.2723407979	0
#iYI6_DH6	SBEND	2.94940866738	0.05	0.05	0.3	0	3.78203063684	0	0	0	0	-25.444992555	0	-105.0649462	0.2662605231	0
#iYI6_DH6_E1	MULTIPOLE	0	0.05	0.05	0.3	0	0	0	0	0	0	-25.05696012	0	-103.6422081	0.2601802483	0
#iYI6_HB3	SBEND	9.09953711219	0.05	0.05	0.3	0	3.92505623473	0	0	0	0	-23.196400995	0	-96.30895059	0.24071082195	0
#iYI6_HQ7	QUADRUPOLE	1	0.05	0.05	0.3	0	0	-88.2504681134	0	0	0	-21.782599975	0	-90.426889535	0.2212413956	0
#iYI6_HQ6A	QUADRUPOLE	1	0.05	0.05	0.3	0	0	43.2520770298	0	0	0	-18.271394135	0	-74.81620569	0.2212413956	0
#iYI6_HQ6	QUADRUPOLE	1	0.05	0.05	0.3	0	0	0.0407698323709	0	0	0	-16.625587165	0	-67.49901228	0.2212413956	0
#iYI6_HQ5	QUADRUPOLE	1	0.05	0.05	0.3	0	0	66.7789857677	0	0	0	-14.870012765	0	-59.69379719	0.2212413956	0
#iYI6_HQ5A	QUADRUPOLE	1	0.05	0.05	0.3	0	0	-67.4923580202	0	0	0	-13.224205795	0	-52.37660378	0.2212413956	0
#iYI6_HB2	SBEND	5.68987391891	0.05	0.05	0.3	0	-4.6361733566	0	0	0	0	-12.07723329	0	-47.463622595	0.2356206978	0
#iYI6_HQ3	QUADRUPOLE	1.2	0.05	0.05	0.3	0	0	47.822455249	0	0	0	-5.1229509835	0	-20.063101895	0.25	0
#iYI6_HQ2	QUADRUPOLE	2.57	0.05	0.05	0.3	0	0	47.0922881696	0	0	0	-3.1990462565	0	-12.528480405	0.25	0
#iYI6_HQ1	QUADRUPOLE	3.42	0.05	0.05	0.3	0	0	-67.4547221085	0	0	0	-2.0247448485	0	-7.9295434095	0.25	0
																
Forward elements																
iB0PF	SBEND	1.19999985522	0.2	0.2	0.5	0	-1.30000001867	0	0	0	0	0.1479946643	0	5.898143303	0.025850325375	0
iB0APF	SBEND	0.599999871528	0.043	0.043	0.256	0	-3.47365005117	0	0	0	0	0.19588079105	0	7.697505684	0.027836701805	0
iQ1APF	QUADRUPOLE	1.46	0.056	0.056	0.28	0	0	-72.6080010782	0	0	0	0.2398622219	0	9.226873187	0.02897275286	0
iQ1BPF	QUADRUPOLE	1.61	0.078	0.078	0.34	0	0	-66.1800009602	0	0	0	0.29301978575	0	11.061103075	0.02897275286	0
iQ2PF	QUADRUPOLE	3.8	0.131	0.131	0.58	0	0	39.4500005649	0	0	0	0.38296759815	0	14.164799965	0.02897275286	0
iB1PF	SBEND	2.99998082347	0.135	0.135	0.5	0	-3.7876800543	0	0	0	0	0.50523105265	0	18.06285573	0.035166522895	0
iB1APF	SBEND	1.49999878304	0.168	0.168	0.4	0	-2.70000003928	0	0	0	0	0.6113094172	0	20.810778815	0.043567868425	0
iB2APF	SBEND	5.69966986642	0.05	0.05	0.3	0	6.00000008721	0	0	0	0	1.522082559	0	41.89052095	0.0271336952995	0
iQ3APF	QUADRUPOLE	1.5	0.05	0.05	0.3	0	0	-77.0297968235	0	0	0	1.6121373905	0	46.23925279	0.008491946679	0
iQ3BPF	QUADRUPOLE	1.5	0.05	0.05	0.3	0	0	61.7385538648	0	0	0	1.633367002	0	48.73916265	0.008491946679	0
iQ4APF	QUADRUPOLE	1.5	0.05	0.05	0.3	0	0	139.192026443	0	0	0	1.9152403175	0	81.931380005	0.008491946679	0
iQ4BPF	QUADRUPOLE	1.5	0.05	0.05	0.3	0	0	-210.856840947	0	0	0	1.9364699295	0	84.431289865	0.008491946679	0
iB2BPF	SBEND	5.69966986314	0.05	0.05	0.3	0	6.00000008721	0	0	0	0	1.9202829325	0	88.78092392	-0.0101498019405	0
iQ5PF	QUADRUPOLE	1.5	0.05	0.05	0.3	0	0	-309.606576722	0	0	0	1.833783023	0	93.629783165	-0.02879155056	0
iQ6PF	QUADRUPOLE	1.5	0.05	0.05	0.3	0	0	49.2831715247	0	0	0	1.4595445755	0	106.62439535	-0.02879155056	0
iQ7PF	QUADRUPOLE	1.5	0.05	0.05	0.3	0	0	3.09480741943	0	0	0	1.0853061275	0	119.61900755	-0.02879155056	0
iB3PF	SBEND	5.69998640113	0.05	0.05	0.3	0	1.21782701075	0	0	0	0	0.920305497	0	124.9737016	-0.032575288005	0
iYO5_DH8_E2	MULTIPOLE	0	0.05	0.05	0	0	0	0	0	0	0	0.761959378	0	129.6235048	-0.03635902545	0
iYO5_DH8	SBEND	9.44006004008	0.05	0.05	0.3	0	3.7820307996	0	0	0	0	0.49861920905	0	134.33618295	-0.05582103894	0
iYO5_DH8_E1	MULTIPOLE	0	0.05	0.05	0	0	0	0	0	0	0	0.2352790401	0	139.0488611	-0.07528305243	0
