
Detector region ion elements																
200 GeV/c protons, 0.15 mrad interaction plane tilt																
																
Element name	Type	Length [m]	Good field half-aperture [cm]	Inner Half-A [cm]	Outer Radius [cm]	Dipole field [T]		Quadrupole field [T/m]		Sextupole [T/m^2]	Solenoid [T]	X center [m]	Y center [m]	Z center [m]	Theta center [rad]	Phi [rad]
Upstream elements						Bx	By	Normal	Skew							
iASUS	SOLENOID	1.6	3	4	12	0	0	0	0	0	2.00000000002	0.640	0	-12.784	-0.05	0
iQUS3S	QUADRUPOLE	0.5	3	4	12	0	0	0	3.38	0	0	0.567	0	-11.336	-0.05	0
iQUS2	QUADRUPOLE	2.1	3	4	12	0	0	94.07	0	0	0	0.492	0	-9.838	-0.05	0
iQUS2S	QUADRUPOLE	0.5	2	3	10	0	0	0	-9.26	0	0	0.417	0	-8.340	-0.05	0
iQUS1b	QUADRUPOLE	1.45	2	3	10	0	0	-97.88	0	0	0	0.359	0	-7.166	-0.05	0
iQUS1S	QUADRUPOLE	0.5	2	3	10	0	0	0	16.42	0	0	0.300	0	-5.993	-0.05	0
iQUS1A	QUADRUPOLE	1.45	2	3	10	0	0	-97.88	-3.08	0	0	0.241	0	-4.819	-0.05	0
iCUS1	KICKER	0.3	2	3	10	-3.90	0.076	0	0	0	0	0.187	0	-3.745	-0.05	0
iCUS2	KICKER	0.3	2	3	10	4.50	-0.019	0	0	0	0	0.162	0	-3.246	-0.05	0
iDSUS	SOLENOID	1.6	2	160	210	0	0	0	0	0	-2.00000000002	0	0	-0.8	0	0
																
Downstream elements 																
iDSDS	SOLENOID	2.4	    2	160	210	0	0	0	0	0	-1.99999999988	0	0	1.2	0	0
iBDS1a	RBEND	    0.75	4	38.5	48.5	0.	1.3342564	0	0	0	0	-0.269	0	5.368	-0.0515	0
iBDS1b	RBEND	    0.75	4	38.5	48.5	0	1.3342564	0	0	0	0	-0.307	0	6.117713033	-0.0515	0
iQDS1a	QUADRUPOLE	2.25	4	9.2	    23.1	0	0	-37.23	-1.23	0	0	-0.413	0	8.114	-0.053	0
iQDS1S	QUADRUPOLE	0.5	    4	9.9	24.8	0	0	0	14.85	0	0	-0.497	0	9.687	-0.053	0
iQDS1b	QUADRUPOLE	2.25	4	12.3	31.0	0	0	-37.23	0	0	0	-0.580	0	11.260	-0.053	0
iQDS2S	QUADRUPOLE	0.5	4	13.0	32.7	0	0	0	-7.83	0	0	-0.664	0	12.833	-0.053	0
iQDS2	QUADRUPOLE	4.5	4	17.7	44.4	0	0	25.96	0	0	0	-0.807	0	15.529	-0.053	0
iQDS3S	QUADRUPOLE	0.5	4	18.4	46.2	0	0	0	0.63	0	0	-0.950	0	18.225	-0.053	0
iASDS	SOLENOID	1.2	4	19.8	49.7	0	0	0	0	0	3.99999999976	-1.005	0	19.274	-0.053	0
iBDS2	RBEND	8.00	4	40	90	0	-4.42	0	0	0	0	-1.270	0	25.768	-0.0265	0
iBDS3	RBEND	6.50	4	4	30	0	5.44	0	0	0	0	-1.414	0	44.564	-0.0265	0
iQDS4	QUADRUPOLE	0.8	3	4	30	0	0	144.14	0	0	0	-1.791	0	52.894	-0.053	0

