Detector region ion elements																
200 GeV/c protons																
																
Element name	Type	Length [m]	Good field half-aperture [cm]	Inner Half-A [cm]	Outer Radius [cm]	Dipole field [T]		Quadrupole field [T/m]		Sextupole [T/m^2]	Solenoid [T]	X center [m]	Y center [m]	Z center [m]	Theta center [rad]	Phi [rad]
Upstream elements						Bx	By	Normal	Skew							
iASUS	SOLENOID	1.6	3	4	12	0	0	0	0	0	2	0.640	0	-12.784	-0.05	0
#iQUS3S	QUADRUPOLE	0.5	3	4	12	0	0	0	0.98	0	0	0.567	0	-11.336	-0.05	0
#iQUS2	QUADRUPOLE	2.1	3	4	12	0	0	94.3	0	0	0	0.492	0	-9.838	-0.05	0
#iQUS2S	QUADRUPOLE	0.5	2	3	10	0	0	0	0.054	0	0	0.417	0	-8.340	-0.05	0
#iQUS1b	QUADRUPOLE	1.45	2	3	10	0	0	-98.0	0	0	0	0.359	0	-7.166	-0.05	0
#iQUS1S	QUADRUPOLE	0.5	2	3	10	0	0	0	-0.044	0	0	0.300	0	-5.993	-0.05	0
#iQUS1A	QUADRUPOLE	1.45	2	3	10	0	0	-98.0	-0.63	0	0	0.241	0	-4.819	-0.05	0
#iCUS1	KICKER	0.3	2	3	10	-1.73	0.45	0	0	0	0	0.187	0	-3.745	-0.05	0
#iCUS2	KICKER	0.3	2	3	10	2.00	-0.45	0	0	0	0	0.162	0	-3.246	-0.05	0
#iDSUS	SOLENOID	1.6	2	160	210	0	0	0	0	0	-2	0.040	0	-0.799	-0.05	0
																
Downstream elements 																
iDSDS	SOLENOID	2.4	2	160	210	0	0	0	0	0	-2	-0.060	0	1.199	-0.050	0
#iBDS1a	RBEND	0.85	4	35.2	45.2	0.87	1.29	0	0	0	0	-0.271	0	5.418	-0.051	0
iBDS1b	RBEND	0.85	4	40.5	50.5	-0.73	1.06	0	0	0	0	-0.325	0	6.467	-0.052	0
iQDS1a	QUADRUPOLE	2.25	4	9.2	23.1	0	0	-37.246	0.42	0	0	-0.413	0	8.115	-0.053	0
iQDS1S	QUADRUPOLE	0.5	4	9.9	24.8	0	0	0	-0.34	0	0	-0.496	0	9.687	-0.053	0
iQDS1b	QUADRUPOLE	2.25	4	12.3	31.0	0	0	-37.246	0	0	0	-0.579	0	11.260	-0.053	0
iQDS2S	QUADRUPOLE	0.5	4	13.0	32.7	0	0	0	0.0030	0	0	-0.663	0	12.833	-0.053	0
iQDS2	QUADRUPOLE	4.5	4	17.7	44.4	0	0	25.961	0	0	0	-0.806	0	15.529	-0.053	0
iQDS3S	QUADRUPOLE	0.5	4	18.4	46.2	0	0	0	-0.83	0	0	-0.949	0	18.225	-0.053	0
iASDS	SOLENOID	1.2	4	19.8	49.7	0	0	0	0	0	4	-1.005	0	19.274	-0.053	0
iBDS2	RBEND	8.0	4	40	90	0	-4.42	0	0	0	0	-1.243	0	25.768	-0.026	0
iBDS3	RBEND	6.5	4	4	30	0	5.44	0	0	0	0	-1.435	0	44.563	-0.026	0
iQDS4	QUADRUPOLE	0.8	3	4	30	0	0	144.1	0	0	0	-1.791	0	52.895	-0.053	0

