NAME	KEYWORD	x	y	z	px	py	pz
		m	m	m	GeV/c	GeV/c	GeV/c
							
MIP	MARKER	-1.95236741743222E-10	-1.598465964E-07	-9.76110456052157E-12	-10.0010531151247	0.02998446554	199.749788579413
iDSDS_exit	SOLENOID	-0.119862943221572	-7.200409091E-05	2.39700498178018	-10.0010316576525	-0.005994495372	199.749791814281
iBDS1a_entrance	DRIFT	-0.249876354969653	-0.0001499325308	4.99375227738447	-10.0010316576525	-0.005994495372	199.749791814281
iBDS1a_exit	SBEND	-0.28793713396466	-8.066593874E-05	5.74278585414219	-10.2980460533002	0.04293658934	199.734695043033
iBDS1b_exit	SBEND	-0.327111674601445	-1.598331272E-07	6.4917619919787	-10.5950381543056	6.21990209E-10	199.719165746577
iQDS1a_entrance	DRIFT	-0.353599269961511	-1.598315723E-07	6.99105990697552	-10.5950381543056	6.21990209E-10	199.719165746577
iQDS1a_exit	QUADRUPOLE	-0.472793448567921	-1.377720744E-07	9.2379005209964	-10.5950380376818	3.828246098E-06	199.719165752764
iQDS1S_entrance	DRIFT	-0.483388486575324	-1.339438283E-07	9.43761968700131	-10.5950380376818	3.828246098E-06	199.719165752764
iQDS1S_exit	QUADRUPOLE	-0.509876082107225	-1.243730997E-07	9.93691760099431	-10.5950383248506	3.828287464E-06	199.71916573753
iQDS1b_entrance	DRIFT	-0.520471120401796	-1.205448122E-07	10.136636769984	-10.5950383248506	3.828287464E-06	199.71916573753
iQDS1b_exit	QUADRUPOLE	-0.639665301738901	-6.284531596E-08	12.38347737986	-10.5950383609291	6.186760346E-06	199.719165735616
iQDS2S_entrance	DRIFT	-0.650260340069551	-5.665855561E-08	12.5831965498478	-10.5950383609291	6.186760346E-06	199.719165735616
iQDS2S_exit	QUADRUPOLE	-0.676747935870738	-4.118717661E-08	13.0824944598212	-10.5950383036003	6.190440864E-06	199.719165738657
iQDS2_entrance	DRIFT	-0.687342974144059	-3.499673575E-08	13.282213629812	-10.5950383036003	6.190440864E-06	199.719165738657
iQDS2_exit	QUADRUPOLE	-0.925731334244388	1.085970406E-07	17.7758948597006	-10.5950381312303	7.400805642E-06	199.719165747801
iQDS3S_entrance	DRIFT	-0.936326372345339	1.159978462E-07	17.9756140197005	-10.5950381312303	7.400805642E-06	199.719165747801
iQDS3S_exit	QUADRUPOLE	-0.962813967633387	1.344991964E-07	18.4749119397011	-10.5950381194772	7.400274736E-06	199.719165748425
iASDS_entrance	DRIFT	-0.973409005822585	1.418994712E-07	18.6746310997017	-10.5950381194772	7.400274736E-06	199.719165748425
iASDS_exit	SOLENOID	-1.03697923388843	1.863189221E-07	19.8729460997407	-10.5950380928814	7.399833928E-06	199.719165749836
iBDS2_entrance	DRIFT	-1.13763209553315	2.566173444E-07	21.7702781697595	-10.5950380928814	7.399833928E-06	199.719165749836
iBDS2_exit	RBEND	-1.3495824730422	5.522501981E-07	29.76653336	3.74504424922212E-08	7.371425916E-06	200
iBDS3_entrance	DRIFT	-1.34958247087979	9.778815395E-07	41.31467469	3.74504424922212E-08	7.371425916E-06	200
iBDS3_exit	RBEND	-1.5217921526637	1.216079126E-06	47.8116320400178	-10.5950380928814	7.276590862E-06	199.719165749836
iQDS4_entrance	DRIFT	-1.77024579578672	1.386715181E-06	52.4950464800644	-10.5950380928814	7.276590862E-06	199.719165749836
iQDS4_exit	QUADRUPOLE	-1.81262594872347	1.513483938E-06	53.2939231400677	-10.59503813642	5.683650544E-05	199.719165747518

